category,value,question,answer
HEALTH & MEDICINE,300,Dental work has been less painful since the 1905 introduction of this anestethic,Novocaine
ANIMALS,300,"The hide of this wild Tibetan ox is used for leather, & it's flesh is used for food",Yak
"""D"" IN COOKING",300,The name of this heavy pot used for stews may be derived from a certain ethnic group in Pennsylvania,Dutch Oven
WORLD EXPLORATION,400,In the 1680s this French explorer of the Mississippi River founded a colony on the Texas coast,LaSalle
AMERICANA,400,"This Nevada mining city's camel races began as a fictitious newspaper story, then became an annual event",Virginia City
MOVIE CLASSICS,1000,"(VIDEO DAILY DOUBLE): Like ""Evita"", this 1946 film seen here is set in Buenos Aires: ""There's never been anybody but you & me. Not anybody? Not anybody. What about your husband?""","""Gilda"""
HEALTH & MEDICINE,400,"In the U.S., alcohol is the most common cause of this deadly liver disease",Cirrhosis
ANIMALS,400,"With its single-twisted horn, it's known as ""the unicorn of the whale family""",Narwhal
"""D"" IN COOKING",400,"Sea foam candy is a variation of this fluffy ""heavenly"" sweet",Divinity
WORLD EXPLORATION,500,"He explored Puget Sound in 1792 & named it for one of his officers, Peter Puget",Capn. George Vancouver
AMERICANA,500,Grace Coolidge was the 1st first lady born in this state; her husband was the 2nd president born there,Vermont
MOVIE CLASSICS,500,Susan Strasburg played Kim Novak's little sister in this 1955 film based on a William Inge play,"""Picnic"""
HEALTH & MEDICINE,500,In 1996 the FDA approved a new vaccine for this respiratory disease also known as pertussis,Whooping Cough
ANIMALS,500,"This fish, named for its ability to breathe out of water, can drown if held underwater",Lungfish
"""D"" IN COOKING",500,"It means 'to lightly coat food with flour, crumbs, etc"" before you fry it",Dredge
LAKES & RIVERS,200,This state's longest river is Kaukonahua Stream on Oahu,Hawaii
PHARAOHS,200,This 12th king of the 18th Dynasty died in his 18th year,King Tut
MUSIC,200,"1968's ""Switched On Bach"" popularized the Moog type of this instrument",Synthesizer
MORE THAN 13-LETTER WORDS,200,Process of making something smaller,Miniaturization
FICTIONAL CHARACTERS,200,This precocious pickpocket introduces Oliver Twist to Fagin,The Artful Dodger
FLORAL POTPOURRI,200,"Tulips are classified by their size, flower characteristics, & when they do this",Bloom
LAKES & RIVERS,400,This river forms part of the boundary between Israel & Syria,The River Jordan
PHARAOHS,400,"Pepy I waged war in this peninsula 4,200 years before Egypt took possession of it",Sinai Peninsula
MUSIC,400,In musical notation this sign cancels a previous sharp or flat,Natural
MORE THAN 13-LETTER WORDS,400,It's the ceremony that starts a construction project,Groundbreaking
FICTIONAL CHARACTERS,400,"Agatha Christie wrote, ""I believe a speck of dust would have caused him more pain than a bullet wound""",Hercule Poirot
FLORAL POTPOURRI,400,"This plant, the silent preacher, changes sex during its life, perhaps going from a Jack to a Jill",Jack-in-the-Pulpit
LAKES & RIVERS,600,"This state's largest lake, Lake Hapatcong, lies about 25 miles west of Passaic",New Jersey
PHARAOHS,600,The solar funeral chip of this great pyramid builder was discovered in 1954,Khufu/Cheops
MUSIC,600,"Probably derived from refrain, this 4-letter term is a constantly repeated musical phrase in jazz",Riff
MORE THAN 13-LETTER WORDS,600,"Go around the world, like Sir Francis Drake",Circumnavigate
FICTIONAL CHARACTERS,600,"Prophetically, she first meets Count Vronsky at a train station shortly before a man is run down by a train",Anna Karenina
FLORAL POTPOURRI,600,"Though they contain this flower's name, the cape, corn, marsh & pot types aren't related to it",Marigold
LAKES & RIVERS,1500,"Numerous islands lie within this lake, Scotland's largest",Loch Lomond
PHARAOHS,800,Seti I's tomb is the finest in this western Theban valley,The Valley of the Kings
MUSIC,800,"His 75th birthday was celebrated posthumously in 1993 with video releases of his ""Young People's Concerts""",Leonard Bernstein
MORE THAN 13-LETTER WORDS,800,Term for the activities performed outside the space capsule,Extravehiclular
FICTIONAL CHARACTERS,800,The Empress of Blandings is a prize-winning pig who appears in stories by this creator of Jeeves,P.G. Wodehouse
FLORAL POTPOURRI,800,"Try to remember, it's also called scorpion grass since its coiled stalk resembles a scorpion's tail",Forget-Me-Not
LAKES & RIVERS,1000,"Smolensk, Mogilev & Kiev are major ports lying on this, Europe's third-largest river",the Dnieper
PHARAOHS,1000,"His principal wife, Nefertiti, may have exercised the priestly office normally reserved for kings",Akhenaton
MUSIC,1000,"Among the albums by this New Age pianist are ""December"", ""Autumn"" & ""Winter Into Spring""",George Winston
MORE THAN 13-LETTER WORDS,1000,Need to know the age of a tree? - give this guy a ring,Dendrochronologist
FICTIONAL CHARACTERS,1400,John Oakhurst is a professional gambler who's cast out of Poker Flat in a famous story by this author,Bret Harte
FLORAL POTPOURRI,1000,Every year the Dykes Medal goes to the best example of this bearded flower,Iris
CATS & DOGS,100,"The most famous ""rough"" type of this dog is undoubtely Lassie - rough, rough!",Collie
"NUMBER, PLEASE",100,"On an outing to a baseball game, you'll usually see this number of innings",9
POETS & POETRY,100,"Percy Shelley wrote his lyrical drama ""Hellas"" in this city, known for its leaning tower",Pisa
HOLIDAYS & OBSERVANCES,100,National Grandparents Day is celebrated in September on the first Sunday after this holiday,Labor Day
RIVERS,100,This British river flows through the Bard's birthplace,Avon
BRITISH HISTORY,100,King John's failure to honor this document in 1215 led to a rebellion by the barons,Magna Carta
CATS & DOGS,200,One of the first of these cats in the United States was given to Mrs. Rutherford B. Hayes by the consul in Bangkok,Siamese
"NUMBER, PLEASE",200,Winks in a catnap or days in Lent,40
POETS & POETRY,200,"In 1922 this Illinois poet published a collection called ""Slabs of the Sunburnt West""",Carl Sandburg
HOLIDAYS & OBSERVANCES,200,In 1995 it occurred on April 16th; in 1996 it will occur on April 7th,Easter
RIVERS,200,"The land between these two rivers, now known in part as Al-Jazira, was once Mesopotamia",Tigris & Euphrates
BRITISH HISTORY,200,Her 63-year reign over England was the longest of any British monarch,Queen Victoria
CATS & DOGS,300,This terrier with a vulpine name may be smooth-haired or wire-haired,fox terrier
"NUMBER, PLEASE",300,"Number of stars in the Big Dipper; it's two less than the number of stars that made up ""The Hollywood Squares""",7
POETS & POETRY,300,"This lord's 1879 poem ""The Defence of Lucknow"" concerns the Sepoy Rebellion",Alfred Lord Tennyson
HOLIDAYS & OBSERVANCES,300,In Canada & Great Britain it's usually the day following Christmas,Boxing Day
RIVERS,300,The Chagres River supplies some of the water that operates this canal's locks,Panama Canal
BRITISH HISTORY,300,"The title ""Defender of the Faith"" was first bestowed upon this king in 1521 by Pope Leo X",Henry VIII
CATS & DOGS,400,Most of these Myanmar cats are descended from a female named Wong Mau,Burmese
"NUMBER, PLEASE",400,"A dodecahedron has this many faces, one for every letter in its name",12
POETS & POETRY,400,"William Wordsworth's poem about this Haitian begins ""Toussaint, the most unhappy Man of Men!""",Toussaint L'Ouverture
HOLIDAYS & OBSERVANCES,400,In 1789 it became the first U.S. holiday designated by presidential proclamation,Thanksgiving Day
RIVERS,400,"In April of 1862, David Farragut ordered his fleet up this river",Mississippi River
BRITISH HISTORY,400,The Treaty of Bretigny in 1360 brought a brief period of peace during this war,Hundred Years' War
CATS & DOGS,500,The French call this dog la caniche,Poodle
"NUMBER, PLEASE",500,"On a telephone, the letters GHI go with this number",4
POETS & POETRY,500,"She wrote ""The Rhyme of the Duchess May"" & her husband wrote ""My Last Duchess""",Elizabeth Barrett Browning
HOLIDAYS & OBSERVANCES,500,This Jewish holiday is also known as the Feast of Lots,Purim
RIVERS,500,"The ancient Roman Colonia Claudia Ara Agrippinensium, now Cologne, Germany, is on this river",Rhine
BRITISH HISTORY,500,"In the 1560s, Richard Davies, Bishop of St. David's, helped translate the New Testament into this language",Welsh
COMPOSERS,200,"His ""Maple Leaf Rag"", the most famous instrumental rag, was composed in 1899",Scott Joplin
BUSINESS & INDUSTRY,200,This Kansas City-based greeting card company began marketing Christmas ornaments in the 1970s,Hallmark
BLACK AMERICANS,200,She's Jackie Joyner-Kersee's famous sister-in-law,Florence Griffith-Joyner
15-LETTER WORDS,200,It's putting off until tomorrow what you could have done three weeks ago,Procrastination
PRESIDENTIAL FIRSTS,200,"On August 9, 1974, he became the first U.S. president to resign",Richard Nixon
WINE & CHEESE,200,Sauterne is a sweet white wine named for a district in this country's Bordeaux region,France
COMPOSERS,400,"This composer of ""The Four Seasons"" wrote 46 operas, but only 21 of the scores survive",Antonio Vivaldi
BUSINESS & INDUSTRY,400,"Aluminum Company of America, popularly called this, was the first industrial user of power from Niagara Falls",Alcoa
BLACK AMERICANS,400,In 1877 this orator was appointed marshal for the District of Columbia,Frederick Douglass
15-LETTER WORDS,400,"A William Bradford Huie novel & a Julie Andrews movie told about ""The"" this ""of Emily""",Americanization
PRESIDENTIAL FIRSTS,400,During the War of 1812 he became the first president to face enemy gunfire while in office,James Madison
WINE & CHEESE,400,"Probably the most famous Dutch cheese, it contains more fat than Edam",Gouda
COMPOSERS,600,"The Czech subtitle of this Dvorak symphony is ""Z noveho sveta""","""New World Symphony"""
BUSINESS & INDUSTRY,600,"In 1983 this Bentonville, Arkansas-based retailer opened Sam's Wholesale Club warehouse chain",Wal-Mart
BLACK AMERICANS,600,In 1995 Ron Kirk was elected the first black mayor of this Texas city,Dallas
15-LETTER WORDS,600,A magician with nimble fingers,Prestidigitator
PRESIDENTIAL FIRSTS,600,This 5th president was the 1st to serve previously as a U.S. senator,James Monroe
WINE & CHEESE,600,This soft cheese found in Greek salad is made from the milk of sheep or goats,Feta
COMPOSERS,800,"This ""Creation"" composer's last 12 symphonies, nos. 93-104, are known as ""The London Symphonies""",Franz Joseph Haydn
BUSINESS & INDUSTRY,800,This company first marketed tires under the Allstate brand; insurance followed in 1931,Sears Roebuck
BLACK AMERICANS,800,"This author of ""Jazz"" & ""Tar Baby"" was the first black American to win the Nobel Prize in Literature",Toni Morrison
15-LETTER WORDS,800,It's any drug that makes veins or arteries narrow,Vasoconstrictor
PRESIDENTIAL FIRSTS,800,In 1835 he became the first & only president to pay off the national debt,Andrew Jackson
WINE & CHEESE,800,"Liebfraumilch is a fine Rhine wine named for a church in this city, Martin Luther's ""diet"" site",Worms
COMPOSERS,1000,"In 1809, Princes Kinsky & Lobkowitz & Archduke Rudolf guaranteed him an income if he'd remain in Vienna",Ludwig van Beethoven
BUSINESS & INDUSTRY,1000,"In April of 1995 this beverage company agreed to buy 80% of MCA, Inc. from Matsushita",Seagram's
BLACK AMERICANS,500,"The ""Voice of Harlem""; he served in the House of Representatives from 1945-67 & 1969-1970","Adam Clayton Powell, Jr."
15-LETTER WORDS,1000,"From German myth, it means ""Twilight of the Gods""",Gotterdammerung
PRESIDENTIAL FIRSTS,2500,This 20th century president was the first to visit Europe while in office,Woodrow Wilson
WINE & CHEESE,1000,This pungent Italian cheese with blue-green veins goes well with a hearty red wine,Gorgonzola
CURRENT EVENTS,100,In July 1996 he was reelected president of Russia in that country's first free presidential election,Boris Yeltsin
SPORTS STARS,100,Rick Mears has won this May auto race a record 3 times from the pole position,the Indianapolis 500
CELEBRITY BOOKS,100,"This talk show host & son Cody share some of their experiences in ""Listen to My Heart""",Kathie Lee Gifford
WORLD TRAVEL,100,Actors should enjoy the Theater History Museum inside this Danish capital's Royal Court Theater,Copenhagen
LIONS & TIGERS & BEARS,100,The two that are of the family Felidae,lions & tigers
"""O"" MY",100,My bologna's first name,O-S-C-A-R
CURRENT EVENTS,200,This Bill Gates' company introduced its Internet Explorer web browser to compete with Netscape,Microsoft
SPORTS STARS,200,"Close but no; on August 10, 1996 this horse failed to break Citation's record of 16 straight victories",Cigar
CELEBRITY BOOKS,200,"If you know that ""No Shirt. No Shoes. No Problem!"" is a book by this comic, you might be a redneck",Jeff Foxworthy
"""O"" MY",200,Marine mollusk good at arm to arm to arm to arm to arm to arm to arm to arm combat,octopus
CURRENT EVENTS,300,"The only living Democratic ex-president, he didn't attend the 1996 convention, but vacationed in Montana",Jimmy Carter
SPORTS STARS,500,NBA player seen here:,Dennis Rodman
CELEBRITY BOOKS,300,"This ""Mad About You"" star offered his witty views on marriage & living together in ""Couplehood""",Paul Reiser
"""O"" MY",300,Zeus' mount,Olympus
CURRENT EVENTS,400,"On August 15, 1996 this Bosnian capital's airport opened for commercial flights after a 4-year closure",Sarajevo
SPORTS STARS,400,"This Olympic gold medal-winning tennis player won the ATP title for the second year in a row August 11, 1996",Andre Agassi
CELEBRITY BOOKS,400,"In 1996 this former ""Dynasty"" star published a Hollywood sizzler called ""Infamous""",Joan Collins
"""O"" MY",400,Clinton can't be cornered in it,the Oval Office
CURRENT EVENTS,500,"On August 19, 1996 this consumer advocate accepted the Green Party's nomination for president",Ralph Nader
SPORTS STARS,500,"On December 25, 1995 this Dallas Cowboys running back set an NFL season record by rushing for his 25th touchdown",Emmitt Smith
CELEBRITY BOOKS,500,"This pop artist published his philosophy ""From A to B & Back Again"" in 1975 & his ""Diaries"" in 1989",Andy Warhol
"""O"" MY",500,"Branch of medicine concerned with ""labor"" relations...& babies",obstetrics
FOOD & DRINK,200,"The term ""prawn"" is used loosely for a large one of these shellfish",shrimp
STATE CAPITALS,200,This Massachusetts capital is the most populous city in New England,Boston
MYTHOLOGY,200,This Roman goddess who protected women during childbirth has the same name as the Princess of Wales,Diana
FILM DIRECTORS,200,"The last film he directed was ""A Matter of Time"" in 1976; it starred his daughter Liza",Vincente Minnelli
THE DREADED OPERA CATEGORY,200,"In a famous fairy tale opera, these 2 children turn the witch into a giant cookie -- serves her right",Hansel and Gretel
FOOD & DRINK,400,"Before fermentation it's called ""sweet""; after fermentation, it's ""hard""",cider
STATE CAPITALS,400,Gold prospectors founded this Alaskan capital in 1880,Juneau
MYTHOLOGY,400,"Pele, a Polynesian fire goddess, lives inside one of these; it erupts when she gets angry",a volcano
FILM DIRECTORS,400,"In 1996 he released ""Natural Born Killers: The Director's Cut"" on video with previously unseen footage",Oliver Stone
THE DREADED OPERA CATEGORY,400,"French for ""again"", it's the word audiences shout to get a diva to sing one more time","""Encore!"""
FOOD & DRINK,600,"Popular at brunches, it's a cocktail made with equal parts of champagne & orange juice",mimosa
STATE CAPITALS,600,"Three Mile Island, the site of a 1979 nuclear accident, lies outside this Pennsylvania capital",Harrisburg
FILM DIRECTORS,600,"The name of this ""Home Alone"" & ""Mrs. Doubtfire"" director may remind you of a famous explorer",Chris Columbus
THE DREADED OPERA CATEGORY,600,"In ""The Maid of Orleans"", this saint has a lot at stake; by the opera's end, she's tied to a stake",Joan of Arc
FOOD & DRINK,800,Retsina wine from this country is said to taste something like turpentine,Greece
STATE CAPITALS,1000,About 75% of all U.S. coins are minted in this capital city,Denver
FILM DIRECTORS,800,"His 1985 film ""Ran"" is a Japanese version of ""King Lear""",Akira Kurosawa
THE DREADED OPERA CATEGORY,1000,Ramfis is the high priest of Egypt in this Verdi opera,Aida
FOOD & DRINK,1000,Chopped coriander leaves popular in salsas are also known by this Spanish name,cilantro
STATE CAPITALS,1000,Bill Campbell became mayor of this southern capital in 1994,Atlanta
FILM DIRECTORS,1000,"He's noted for such off-beat comedies as ""Pink Flamingos"", ""Polyester"" & ""Serial Mom""",John Waters
THE DREADED OPERA CATEGORY,1000,Celestine Galli-Marie was the 1st to play this seductress from Seville in Bizet's most famous opera,Carmen
FAMOUS SHIPS,100,Remember this ship that blew up in 1898? One inquiry said the cause of the explosion was a submarine mine,the Maine
U.S. GEOGRAPHY,100,In 1905 a large searchlight was installed at the top of this Colorado peak,Pikes Peak
TV ACTORS & ROLES,100,"After 5 years as Dylan McKay, Luke Perry left the cast of this show in 1995",Beverly Hills 90210
FOOD,100,In a cling peach the flesh clings to this,the pit
THE 1820s,100,"On October 27, 1822 a 280-mile section of the Erie Canal opened between Rochester & this capital",Albany
"""BI""WORDS",100,"When you wait for something, you do this to your time",bide
FAMOUS SHIPS,200,After striking a reef in 1989 it caused the largest oil spill in U.S. history,Exxon Valdez
U.S. GEOGRAPHY,200,"Belleville, Illinois is part of this Missouri city's metropolitan area",St. Louis
TV ACTORS & ROLES,200,"Before sailing on ""The Love Boat"", Gavin MacLeod played Murray Slaughter on this sitcom",The Mary Tyler Moore Show
FOOD,200,"This word that often follows wiener means ""cutlet"" in German",Schnitzel
THE 1820s,200,This country signed treaties with the U.S. & Britain accepting 54° 40' as its southern border for Alaska,Russia
"""BI""WORDS",200,Divide in two,bisect
FAMOUS SHIPS,300,The Pearl Harbor memorial built above this sunken battleship was dedicated in 1962,the Arizona
U.S. GEOGRAPHY,300,"The largest lake in the western U.S., it's fed by freshwater streams but has a heavy saline content",the Great Salt Lake
TV ACTORS & ROLES,300,"His TV roles have included Howard Cunningham on ""Happy Days"" & Father Dowling",Tom Bosley
FOOD,300,"Cajun popcorn is made by battering & frying shrimp, or the tails of these freshwater crustaceans",crayfish
THE 1820s,300,In 1825 this Scottish botanist discovered the coniferous evergreen now named for him in the Pacific NW,David Douglas
"""BI""WORDS",300,"If you speak fluent English & Estonian, you're this",bilingual
FAMOUS SHIPS,400,The ramains of this ship were found off Pitcairn Island in 1957,the Bounty
U.S. GEOGRAPHY,400,Wind Cave National Park is located in these eroded mountains in western South Dakota,the Black Hills
TV ACTORS & ROLES,400,Jerry Orbach plays detective Lennie Briscoe on this crime series,Law & Order
FOOD,400,The redeye type of this is made from fried ham drippings,gravy
THE 1820s,400,"A great rock along this river inspired Heinrich Heine to write his poem ""Die Lorelei""",the Rhine
"""BI""WORDS",400,"If you live in Miami & Malibu, you're this",bicoastal
FAMOUS SHIPS,500,Name shared by the 1st steamship to cross the Atlantic & the 1st nuclear-powered merchant ship,the Savannah
U.S. GEOGRAPHY,500,Northern California's Mount Shasta & Lassen Peak are at the southern end of this mountain range,the Cascades
TV ACTORS & ROLES,500,"In 1996 this talk show host turned actor to play a Navy Seal turned teacher on ""Matt Waters""",Montel Williams
FOOD,500,Some add onions to this Greek dish of eggplant layered with ground meat & covered in Bechamel sauce,Moussaka
THE 1820s,500,"Although it was founded in 1821, this Montreal university didn't open until 1829",McGill
"""BI""WORDS",500,Premolars,bicuspids
WOMEN'S FIRSTS,200,In 1995 Roberta Cooper Ramo became the 1st female president of this legal association,the American Bar Association
BILL CLINTON,200,Bill Clinton met Hillary Rodham while both were attending this law school,Yale
POETS & POETRY,200,"Longfellow's poem about this patriot begins, ""Listen, my children, and you shall hear...""",Paul Revere
FOREIGN CURRENCY,200,"This German currency was once a unit of weight, equaling about 8 ounces",the Mark
BIOLOGY,200,The umbo is the pointed center & oldest part of this part of a clam,the shell
THE CONGO RIVER,200,In length the Congo is second in Africa to this river,the Nile
WOMEN'S FIRSTS,400,"Now cohost of ""20/20"", in 1976 she became the 1st woman to co-anchor the network evening news",Barbara Walters
BILL CLINTON,400,"While the GOP convention was taking place in California, President Clinton was vacationing in this state",Wyoming
POETS & POETRY,400,"According to tradition, Clement Clark Moore wrote this holiday classic for his own children in 1822","""The Night Before Christmas"""
FOREIGN CURRENCY,400,In 1833 Greece chose this basic unit of currency to replace the phoenix,the drachma
BIOLOGY,400,Cutaneous respiration is an exchange of gases through this part of the body,the skin
THE CONGO RIVER,400,In the 1870s this British explorer & journalist traveled the entire length of the Congo,Stanley
WOMEN'S FIRSTS,600,In 1988 she became the 1st woman to head the government of a modern Muslim state,(Benazir) Bhutto
BILL CLINTON,600,"At the 1988 Democratic Convention, Clinton gave the nominating speech for this candidate",Dukakis
POETS & POETRY,600,"William Blake asked of this wild animal, ""Did he who made the lamb make thee?""",The Tyger
FOREIGN CURRENCY,600,This Israeli currency originated with the Babylonians,the shekel
BIOLOGY,600,Dendrites are projections from this type of cell,the nerve cells
THE CONGO RIVER,600,"This ""Heart of Darkness"" author lived his dream of commanding a steamboat up the Congo",(Joseph) Conrad
WOMEN'S FIRSTS,1000,This 16th century queen was the 1st woman to play golf,"Mary, Queen of Scots"
BILL CLINTON,800,"Prior to being elected Arkansas Governor in 1978, Clinton held this state office",attorney general
POETS & POETRY,800,"He concluded ""Elegy Written in a Country Churchyard"" with ""The Epitaph""; how appropriate",(Thomas) Grey
FOREIGN CURRENCY,800,"Eritrea uses the birr as its basic unit of currency, as does this country which it broke away from in 1993",Ethiopia
BIOLOGY,800,Osmoregulation in the human body is carried out by these organs,the kidneys
THE CONGO RIVER,800,We presume you know the cataracts on the lower Congo are named for this man,Livingstone
WOMEN'S FIRSTS,1000,"She became the 1st woman elected to Congress in 1916, before most women could even vote",Jeannette Rankin
BILL CLINTON,1000,Clinton was born in this Arkansas hamlet in 1946 but grew up in Hot Springs,Hope
POETS & POETRY,1000,"He dedicated ""The Rape of the Lock"" to Mrs. Arabella Fremor",(Alexander) Pope
FOREIGN CURRENCY,1000,The currency of Ecuador & Bolivia's official capital were both named for this man,Antonio José de Sucre
BIOLOGY,1000,These glands secrete oil into your hair follicles,sebaceous (glands)
THE CONGO RIVER,1000,Name given by the Portuguese to the Congo River & still used for much of it today,the Zaire
LITERATURE,100,"Mowgli's song ""Against People"" appears in this author's ""Second Jungle Book""",Rudyard Kipling
FILMS OF THE '70s,100,"At the beginning of this film, George C. Scott addresses his troops in front of a huge American flag","""Patton"""
FAMOUS AMERICANS,100,"In the wee hours of an April morning in 1775, this silversmith warned, ""The British are Coming!""",Paul Revere
CONTAINERS,100,A kid or a politician doesn't want to be caught with his hand in this container,Cookie Jar
WASHINGTON STATE,100,2 restaurants atop this 605-foot Seattle landmark turn at one revolution per hour,The Space Needle
SPEAK OF THE DEVIL,100,"It's the number of items in a devil's dozen, or in a baker's dozen",13
LITERATURE,200,"In chapter 2 of this Tolstoy novel, Princess Bolkonsky says, ""Tell me what this war is about""","""War And Peace"""
FILMS OF THE '70s,200,"""Peggy Sue"", ""That'll Be The Day"" & other songs in this 1978 film were sung by its star, Gary Busey","""The Buddy Holly Story"""
FAMOUS AMERICANS,200,In 1845 the remains of this frontiersman & his wife Rebecca were moved from Missouri to Kentucky,Daniel Boone
CONTAINERS,200,"One may contain a selection of songs or photos; its name is from Latin for ""white""",Album
WASHINGTON STATE,200,One of the world's longest floating structures of this type carries I-90 traffic over Lake Washington,Pontoon Bridge
SPEAK OF THE DEVIL,200,"Most people are in bed by this time, the devil's dancing-hour",Midnight
LITERATURE,300,"This Edgar Allan Poe story concerns ""a masked ball of the most unusual magnificence""","""Masque of the Red Death"""
FILMS OF THE '70s,300,This 1979 nuclear disaster film starring Jane Fonda & Michael Douglas had no background music,The China Syndrome
FAMOUS AMERICANS,300,"Nicknamed ""Light-Horse Harry"", he served in the Continental Congress from 1785 to 1788",Harry Lee
CONTAINERS,300,One may hold a tempest or a dormouse,Teapot
WASHINGTON STATE,300,"In 1983 WPPSS, the Washington Public Power Supply System, defaulted on a record $2.25 bil. worth of these",Bonds
SPEAK OF THE DEVIL,300,"We assume this rich, dark chocolate dessert is the devil's favorite",Devil's Food Cake
LITERATURE,400,"This ""Babbitt"" author published his 1st novel, ""Hike And The Aeroplane"", under the pseudonym Tom Graham",Sinclair Lewis
FILMS OF THE '70s,400,"Barbra Streisand wanted Elvis Presley to co-star with her in this film, but Kris Kristofferson got the role","""A Star Is Born"""
FAMOUS AMERICANS,400,In 1898 the Spanish-American War ended when Manila surrendered to Gen. Merritt & this admiral,George Dewey
CONTAINERS,400,A casket is a coffin; a strongbox is this similar word,Coffer
WASHINGTON STATE,400,"In 1859 U.S. settlers fought settlers from this European country in the ""Pig War"" for the San Juan Islands",England
SPEAK OF THE DEVIL,400,These gaming items were called the devil's bones because they were made of bone & led to ruin,Dice
LITERATURE,500,"This ""Brave New World"" author's 1921 novel ""Crome Yellow"" abounds with eccentric characters",Aldous Huxley
FILMS OF THE '70s,500,In this film Richard Dreyfuss sculpts models of Devils Tower,"""Close Encounters of the Third Kind"""
FAMOUS AMERICANS,500,You might say this reformer born in 1818 is best remembered for wearing the pants in her family,Amelia Bloomer
CONTAINERS,500,It holds entertainment-seeking soldiers or water for soldiers,Canteen
WASHINGTON STATE,500,This dam on the Columbia River has a generating capacity of nearly 6.5 million kilowatts,Grand Coulee Dam
SPEAK OF THE DEVIL,500,"This poisonous weed named for Jamestown, Virginia, is also known as devil's trumpet",Jimson Weed
1950,200,Ain Shams University was founded in this Egyptian capital,Cairo
RELIGION,200,"In this religion the supreme sin of shirk, polytheism or the denial of Allah's unity, is unforgivable",Islam
BALLET,200,"George Skibine's ballet ""Tragedy at Verona"" is based on this play","""Romeo And Juliet"""
U.S. MONEY,200,This present U.S. coin has a torch on its reverse,Dime
ISLANDS,200,In 1972 this island once famous for its prison became part of Golden Gate National Recreation Area,Alcatraz
CALENDARS,200,"William F. Buckley, Jr. gives you this many ""Words You'd Like to Know""; remember, 1996 is a leap year",366
1950,400,Florence Chadwick swam this body of water from Cap Gris-Nez to Dover,The English Channel
RELIGION,400,The new fire ceremony was performed every 52 years by this Mexican civilization,Aztecs
BALLET,400,It's believed this Christmas classic is the most frequently performed ballet in history,"""The Nutcracker"""
U.S. MONEY,400,"All U.S. dollar coins issued since 1794, except one, featured this animal",Eagle
ISLANDS,400,In 1866 a leper colony was founded on this Hawaiian island's Kalaupapa Peninsula,Molokai
CALENDARS,400,"This ""Oldest Living Teenager"" has a calendar with daily ""American Bandstand"" trivia",Dick Clark
1950,600,"This photographer's ""My Camera in the National Parks"" was released in 1950",Ansel Adams
RELIGION,600,In 1995 a 6-year-old boy in this Chinese-occupied region was identified as the reincarnated Panchen Lama,Tibet
BALLET,600,"""Le Beau Danube"" with music by Johann Strauss, is set in a public park in this city",Vienna
U.S. MONEY,600,Most U.S. paper currency consists of 7 denominations issued in this type of note,Federal Reserve Note
ISLANDS,600,In 1856 some descendants of the Bounty mutineers left this island & settled on Norfolk,Pitcairn Island
CALENDARS,600,"Chef Marcel Desaulniers has a calendar companion to his book ""Death By"" this treat",Chocolate
1950,800,In January this country became a republic with Rajendra Prasad as president,India
RELIGION,800,"Rituals in this popular religion of Haiti are led by a houngan, a priest, or a mambo, a priestess",Voodoo
BALLET,800,"Twyla Tharp's ""Push Comes to Shove"" was one of the first American works created for this Russian star",Mikhail Baryshnikov
U.S. MONEY,1600,U.S. paper currency is made of 25% linen & 75% this fiber,Cotton
ISLANDS,800,"Over 40 miles long, Olkhon is the largest island in this Siberian lake",Lake Baikal
CALENDARS,800,"Browntrout offers calendars of these coastal structures from New England, the Pacific & the Great Lakes",Lighthouses
1950,1000,In 1950 this former Army chief of staff & secretary of state became secretary of defense,George Marshall
RELIGION,1000,In the Rig veda this major Hindu deity is called Rudra & is addressed in just 3 hymns,Shiva
BALLET,1000,"For a 1905 benefit, Michel Fokine created ""The Dying Swan"" for this Russian ballerina",Anna Pavlova
U.S. MONEY,1000,A commemorative half dollar was issued in 1937 to honor this bloodiest one-day Civil War battle,Antietam
ISLANDS,1000,Torshavn is the capital & one of the principal ports of these Danish islands,Faroe Islands
CALENDARS,1000,"This humor magazine's photos of ""True Signs"" have been collected into a calendar",National Lampoon
MAMMALS,100,Both African & Indian species of this mammal undergo periods of odd behavior called musth,Elephant
TV BARS & RESTAURANTS,100,"On this sitcom Duff Beer is on tap at Moe's Tavern where the clientele is always ""animated""","""The Simpsons"""
GEMS & JEWELRY,100,In 1847 Louis Cartier founded an elegant jewelry firm in this capital city,Paris
WORLD CITIES,100,This Puerto Rican capital's harbor is guarded by Fort San Felipe Del Morro,San Juan
INVENTORS,100,Laurens Hammond invented an electric type of this musical instrument,Organ
HODGEPODGE,100,"In heraldry a wyvern is one of these mythical beasts depicted with 2 legs, wings & a barbed tail",Dragon
MAMMALS,200,Collisions with boats are the largest identifiable cause of death of these gentle Florida sea cows,Manatees
TV BARS & RESTAURANTS,200,"Head north, far north, to visit The Brick, this show's restaurant","""Northern Exposure"""
GEMS & JEWELRY,200,"One of the most important mines for these green gems is found at Muzo, Colombia",Emeralds
WORLD CITIES,200,You can visit the Museum Carolino-Augusteum as well as Mozart's birthplace in this Austrian city,Salzburg
INVENTORS,200,He invented a razor with disposable blades after experts at M.I.T. told him it was impossible,King Gillette
HODGEPODGE,200,Kellogg introduced these toaster pastries in 1964,Pop-Tarts
